County,State,R0
Alexandria city,Virginia,0.651308528424125
Hanover,Virginia,0.6609932186968213
James City,Virginia,0.7420125286295349
Prince Edward,Virginia,-1850.2829906212976
Prince William,Virginia,0.6446399615369434
Columbia,Washington,0.9794581803348081
Grays Harbor,Washington,0.7279301787837907
Yakima,Washington,0.6923303576232768
Elmore,Alabama,0.6943037156298304
Jefferson,Alabama,0.7170128917897628
Limestone,Alabama,0.7362923701771602
Montgomery,Alabama,0.6833115523177157
Tuscaloosa,Alabama,0.7010147870809045
San Benito,California,0.7317865793936112
Clear Creek,Colorado,0.7470266137241215
Pueblo,Colorado,0.6880070247505132
Routt,Colorado,0.7262445877710062
Summit,Colorado,0.7148470316925045
Weld,Colorado,0.688296809971112
Orange,Florida,0.7053607270287378
Osceola,Florida,0.7092348542941397
Gordon,Georgia,0.6867120323642268
Henry,Georgia,0.7004150484891911
Ada,Idaho,0.7112471875344395
Harrison,Iowa,0.7524146327388662
Butler,Kansas,0.7339654859978055
St. Charles,Louisiana,0.7018087641393733
St. Tammany,Louisiana,0.705943268142447
Terrebonne,Louisiana,0.7021745586300866
Cumberland,Maine,0.7195496742892693
Anne Arundel,Maryland,0.6747925550715671
Charles,Maryland,0.6816058595580585
Bay,Michigan,0.6685198255369776
Charlevoix,Michigan,0.7451160821746188
Leelanau,Michigan,1174.3916314635885
Macomb,Michigan,0.6913680004446815
Wright,Minnesota,0.6818418001892994
Copiah,Mississippi,0.6381786697956852
Leflore,Mississippi,0.6594687850474729
Pearl River,Mississippi,0.7047527180982958
Henry,Missouri,781.8069545384067
Gallatin,Montana,0.7264464737594168
Lewis and Clark,Montana,0.7521249792249969
Silver Bow,Montana,0.7594637850355578
Yellowstone,Montana,0.7271179355454629
Ocean,New Jersey,0.6895642616971541
Schenectady,New York,0.6922291602484636
Wayne,North Carolina,0.6105950048957143
Oklahoma,Oklahoma,0.7028842574406767
Chester,Pennsylvania,0.6809524683038776
Cumberland,Pennsylvania,0.6599135322615193
Washington,Pennsylvania,0.7191995667185238
Unknown,Puerto Rico,0.699813346419522
McCook,South Dakota,705.9091358814027
Hamilton,Tennessee,0.7217529798782806
Jefferson,Tennessee,0.7369817539098152
Rutherford,Tennessee,0.69976206804884
Bell,Texas,0.7061014163070123
El Paso,Texas,0.6594154717426398
Galveston,Texas,0.7028839300005172
Smith,Texas,0.7230693346020681
Travis,Texas,0.6956823057742527
Harrisonburg city,Virginia,0.6174629362588469
Grant,Washington,0.7244861982875663
Milwaukee,Wisconsin,0.7060799990685592
Racine,Wisconsin,0.6646136112187705
Sheboygan,Wisconsin,0.7362020056716668
Fremont,Wyoming,0.6914305133607446
Baldwin,Alabama,0.6808255326290164
Graham,Arizona,-2641.992105230643
San Luis Obispo,California,0.7311652593018589
Boulder,Colorado,0.6985603978233513
Mesa,Colorado,0.7300868071426427
Hartford,Connecticut,0.6640957075671774
New Haven,Connecticut,0.6666438621841352
Coweta,Georgia,0.7071215999822045
Kauai,Hawaii,0.7546405352753875
Blaine,Idaho,0.7205745661523426
Teton,Idaho,0.7551750681026655
Cumberland,Illinois,-3239.69018222708
DuPage,Illinois,0.6800072425934784
Sangamon,Illinois,0.30553675311554834
St. Clair,Illinois,0.680202283208918
Woodford,Illinois,0.7417342566588162
LaPorte,Indiana,0.6288976928294407
Wells,Indiana,0.6764025597772904
Dallas,Iowa,11063.237071662541
Franklin,Kansas,0.7496364422492746
Bourbon,Kentucky,0.7417961123100911
Nelson,Kentucky,0.6815237179647146
Bossier,Louisiana,0.7100695601083098
Lafourche,Louisiana,0.6979029906315749
St. John the Baptist,Louisiana,0.7003942547466115
Carroll,Maryland,0.7003035652063274
Barnstable,Massachusetts,0.704653921359708
Bristol,Massachusetts,0.6664834353856817
Monroe,Michigan,0.705516032655992
Renville,Minnesota,0.7040502998925526
Missoula,Montana,0.7365520738609926
Mercer,New Jersey,0.6708102100209583
Sandoval,New Mexico,0.6932188986135172
Broome,New York,0.6904271666751948
Tioga,New York,-0.24629970014976751
Tompkins,New York,0.7282241031960301
Brunswick,North Carolina,0.7334284552598899
Craven,North Carolina,0.712968559252846
Harnett,North Carolina,0.2380842421863052
Belmont,Ohio,0.6509695622042262
Butler,Ohio,0.6961772017127266
Franklin,Ohio,0.6858210433582931
Lorain,Ohio,0.691845382841477
Summit,Ohio,0.7005591045234753
Tuscarawas,Ohio,0.6919319730387824
Jackson,Oklahoma,1768.6680193945729
Allegheny,Pennsylvania,0.7052144556926333
Beaufort,South Carolina,0.7238069017906156
Lexington,South Carolina,0.699053646329019
Campbell,Tennessee,0.7329977575778622
